 ================================================================================
                               TOYGENERATOR HISTOGRAMS                                       
 ================================================================================
 
   ISR generation using seed = 5235 at center of mass energy = 1.00 GeV
 
 
 ****************************************************************
 
 p modulus mu-
      binlow         binhigh         content           error
       0.890           0.900           0.000           0.000
       0.900           0.910           0.000           0.000
       0.910           0.920           0.000           0.000
       0.920           0.930           0.000           0.000
       0.930           0.940           0.000           0.000
       0.940           0.950           0.000           0.000
       0.950           0.960           0.000           0.000
       0.960           0.970           0.000           0.000
       0.970           0.980           0.000           0.000
       0.980           0.990           0.000           0.000
       0.990           1.000           0.000           0.000
       1.000           1.000           0.000           0.000
 
 
 ****************************************************************
 
 Theta ISR gamma
      binlow         binhigh         content           error
       0.000           0.000           0.000           0.000
       0.000           1.800           0.592           0.015
       1.800           3.600           0.116           0.007
       3.600           5.400           0.076           0.005
       5.400           7.200           0.053           0.005
       7.200           9.000           0.038           0.004
       9.000          10.800           0.033           0.004
      10.800          12.600           0.024           0.003
      12.600          14.400           0.026           0.003
      14.400          16.200           0.021           0.003
      16.200          18.000           0.015           0.002
      18.000          19.800           0.024           0.003
      19.800          21.600           0.015           0.002
      21.600          23.400           0.019           0.003
      23.400          25.200           0.013           0.002
      25.200          27.000           0.009           0.002
      27.000          28.800           0.013           0.002
      28.800          30.600           0.013           0.002
      30.600          32.400           0.011           0.002
      32.400          34.200           0.007           0.002
      34.200          36.000           0.005           0.001
      36.000          37.800           0.007           0.002
      37.800          39.600           0.007           0.002
      39.600          41.400           0.007           0.002
      41.400          43.200           0.005           0.001
      43.200          45.000           0.007           0.002
      45.000          46.800           0.007           0.002
      46.800          48.600           0.002           0.001
      48.600          50.400           0.004           0.001
      50.400          52.200           0.003           0.001
      52.200          54.000           0.002           0.001
      54.000          55.800           0.005           0.001
      55.800          57.600           0.004           0.001
      57.600          59.400           0.001           0.001
      59.400          61.200           0.000           0.000
      61.200          63.000           0.003           0.001
      63.000          64.800           0.002           0.001
      64.800          66.600           0.001           0.001
      66.600          68.400           0.002           0.001
      68.400          70.200           0.001           0.001
      70.200          72.000           0.001           0.001
      72.000          73.800           0.001           0.001
      73.800          75.600           0.000           0.000
      75.600          77.400           0.000           0.000
      77.400          79.200           0.000           0.000
      79.200          81.000           0.000           0.000
      81.000          82.800           0.000           0.000
      82.800          84.600           0.000           0.000
      84.600          86.400           0.000           0.000
      86.400          88.200           0.000           0.000
